rawi_index,name,shuhrah,laqab,kunyah,nasab,place_iqama,selat_karaba,aqeedah,date_birth,date_death,place_birth,place_death,place_travel,date_travel,tabaqah,grade_ibn_hajar,grade_thahabi
110,إبراهيم بن مرة,,,,الشامي ، المدني ، ويقال : الدمشقي,,,,,131 هـ : 140 هـ,,,,,الثامنة,صدوق,قال النسائي : ليس به بأس
112,إبراهيم بن مروان بن محمد بن حسان,,,,الطاطري ، الدمشقي ، الأسدي,,,,,251 هـ : 260 هـ,,,,,الحادية عشرة,صدوق,ثقة
113,إبراهيم بن المستمر,,,أبو إسحاق,الهذلي ، الناجي ، العروقي ، البصري ، العدوي ، العصفري,,,,,241 هـ : 250 هـ,,,,,الحادية عشرة,صدوق يغرب,صدوق
114,إبراهيم بن مسلم,الهجري,,أبو إسحاق,العبدي ، الكوفي ، الهجري ، السوائي,,,,,141 هـ : 150 هـ,,,,,الخامسة,لين الحديث ، رفع موقوفات,ضعف
115,إبراهيم بن المنذر بن عبد الله بن المنذر بن المغيرة بن عبد الله بن خالد بن حزام بن خويلد بن أسد بن عبد العزى بن قصي بن كلاب,,الحافظ,أبو إسحاق,"الحافظ ، الأسدي , الحزامي , المدني , القرشى",الكوفة ، المدينة,,تكلم فيه أحمد لأجل القرآن,,235 هـ ، أو  236 هـ,,المدينة,,,العاشرة,صدوق,صدوق
116,إبراهيم بن مهاجر بن جابر,,,أبو إسحاق ، أو أبو جابر,البجلي ، الكوفي,,والد إسماعيل,,,121 هـ : 130 هـ,,,,,الخامسة,صدوق، لين الحفظ,قال القطان والنسائي : ليس بالقوي ، وقال أحمد : لا بأس به
117,إبراهيم بن مهدي,المصيصي,,,المصيصي ، البغدادي الأصل ، الطرسوسي ، الأبناوي,المصيصة,,,,224 هـ ، أو 225 هـ,,,,,العاشرة,مقبول,وثقه أبو حاتم
118,إبراهيم بن موسى بن يزيد بن زاذان,الصغير ، الفراء,الصغير ، الفراء,أبو إسحاق,التميمي ، الفراء ، الرازي,,,,,219 هـ ، أو 220 هـ وبضع,,,"العراق , اليمن , الشام",,العاشرة,ثقة حافظ,"الحافظ ,  قال أبو زرعة كتبت عنه مائة ألف حديث ، وهو أتقن من أبي بكر بن أبي شيبة"
119,إبراهيم بن ميسرة,,,,"الطائفي , المكي مولاهم",مكة,مولى لبعض أهل مكة,,,132هـ ، أو قريبا منها,,,,,الخامسة,ثبت حافظ,قال الحميدي : قال لي سفيان : لم تر عيناك مثله
120,إبراهيم بن ميمون,,,,الصنعاني ، اليمني ، ويقال : الزبيدي,,,,,,,,,,الثامنة,ثقة,وثق
121,إبراهيم بن ميمون,,,أبو إسحاق,الصائغ ، المروزي ، قيل: الأصبهاني الأصل,خراسان,مولى النبي صلى الله عليه وسلم,,,131 هـ,,,,,السادسة,صدوق,قال النسائي : لا بأس به
122,إبراهيم بن نافع,,,أبو إسحاق,المخزومي ، المكي,,يقال : إنه ابن أخت عطاء الكيخاراني,كان يقول بالقدر,,161 هـ : 170 هـ,,,,,السابعة,ثقة حافظ,ثقة ثبت
123,إبراهيم بن نشيط بن يوسف,,,أبو بكر,المصري ، الوعلاني ، المرادي مولاهم ، ويقال : الخولاني مولاهم ، ويقال : الشامي ، ويقال : المدني,,مولى مراد ، ويقال : الخولانى مولاهم,,,161 هـ ، أو 162 هـ ، وقيل : 163 هـ,,,,,الخامسة,ثقة,ثقة
124,إبراهيم بن هارون,,,,البلخي ، العابد,,,,,241 هـ : 250 هـ,,,,,الحادية عشرة,صدوق,ثقة
125,إبراهيم بن يحيى بن محمد بن عباد بن هاني,,,,الشجري ، المدني,الشجرة بذي الحليفة,,,,221 هـ : 230 هـ,,,,,العاشرة,لين الحديث,ضعفه أبو حاتم
126,إبراهيم بن يزيد,الخوزي,الخوزي,أبو إسماعيل,المكى ، القرشي ، الخوزي ، الأموي مولاهم,مكة,مولى عمر بن عبد العزيز,,,"150هـ ، 
أو 151 هـ",,,,,السابعة,متروك الحديث,"واه ,  قال البخاري : سكتوا عنه ، وقال أحمد : متروك"
127,إبراهيم بن يزيد بن شريك,,,أبو  أسماء,التيمي ، الكوفي ، العابد,,,كان مرجئا,,92 هـ ، أو 93 هـ ، أو 94 هـ ، أو 95 هـ,,واسط,,,الخامسة,ثقة إلا أنه يرسل ويدلس,
128,إبراهيم بن يزيد بن قيس بن الأسود بن عمرو بن ربيعة بن ذهل بن ربيعة بن ذهل بن سعد بن مالك بن النخع,,,أبو عمران,النخعي ، الكوفي,العراق ، الكوفة,أمه مليكة بنت يزيد ، وخالاه الأسود ، وعبد الرحمن ابنا يزيد,,38 هـ ، أو 50 هـ,94 هـ ، أو 95 هـ ، أو 96 هـ,,,,,الخامسة,ثقة إلا أنه يرسل كثيرا,وكان عجبا في الورع ، والخير متوقيا للشهرة ، رأسا في العلم
129,إبراهيم بن يزيد بن مردانبه,,,,القرشي ، المكي ، المخزومي مولاهم ، الكوفي,مكة,مولى عمرو بن حريث,,,191 هـ : 200 هـ,,,,,السابعة,صدوق,قال أبو حاتم : لا يحتج به وقواه غيره
130,إبراهيم بن يعقوب بن إسحاق,,الحافظ,أبو إسحاق,"السعدي ، الجوزجاني ، الحافظ ، العبدي ، 
التميمي ، الخراساني",دمشق ، مكة ، البصرة ، الرملة,,رمي بالنصب ولم يكن بداعية إليه,,بعد 244 هـ ، أو 256 هـ ، أو 259 هـ,,دمشق,مصر,245هـ,الحادية عشرة,ثقة حافظ ، رمي بالنصب,
131,إبراهيم بن يوسف بن إسحاق بن أبي إسحاق,,,,الكوفي ، السبيعي,,,,,198 هـ,,,,,السابعة,صدوق يهم,فيه لين
133,إبراهيم بن يونس بن محمد,حرمي,حرمي,,البغدادي ، المؤدب,طرسوس,,,,,,,,,الحادية عشرة,صدوق,ثقة
134,ابن أبي المعلى,,,,الأنصاري,,,,,,,,,,الثالثة,ولا يعرف,
135,ابن أبي خزامة ، و قيل : أبو خزامة ، و هو الصحيح,,,,الهذيمي,,,,,,,,,,الثالثة,مجهول,
137,ابن أبي كبشة,,,,الأنماري,,ابناه : عبد الله ، ومحمد,,,,,,,,الثالثة,مقبول,
138,ابن أخي الحارث الأعور,,,,,,ابن أخي الحارث الأعور,,,,,,,,السادسة,مجهول,
139,ابن أخي زينب الثقفية ، ويقال : ابن أخت زينب,,,,,,عمته زينب الثقفية امرأة ابن مسعود ، ويقال : خالته,,,,,,,,كأنه صحابي ، ولم أره مسمى,كأنه صحابي ، ولم أره مسمى,
141,ابن أخي عبد الله بن سلام,,,,,,عمه عبد الله بن سلام,,,,,,,,الثالثة,مجهول,
143,ابن العلاء بن الحضرمي ، يقال : اسمه عبد الله,,,,الحضرمي,,,,,,,,,,الثالثة,مقبول,
144,ابن الفراسي,,,,,,,,,,,,,,,,
145,ابن أم الحكم أو ضباعة ابنتي الزبير,,,,,,,,,,,,,,الثالثة,لا يعرف,
146,ابن حجير,,,,العدوي,,,,,,,,,,الثانية,مستور,
147,ابن حدير,,,,البصري,,,,,,,,,,الرابعة,مستور,
148,ابن حرشف,,,,الأزدي,,,,,,,,,,السادسة,مجهول,
149,ابن حيان ، ويقال : اسمه حيان بن غالب,,,,,,,,,,,,,,السادسة,لا يعرف,
150,ابن عابس,,,,الجهني,,,,,,,,,,,,صحابي
151,ابن عبد الله بن بسر,,,,المازني ، السلمي,,عمة أبيه الصماء أخت بسر,,,,,,,,الخامسة,لا يعرف,
152,ابن عمر بن أبي سلمة ، قيل : اسمه محمد,,,,,,,,,,,,,,السادسة,مقبول,
153,ابن وهب بن منبه,,,,,,"أخو : عبد الرحمن , وأيوب",,,,,,,,السادسة,مجهول,
154,ابنة الحارث بن عامر بن نوفل,,,,النوفلية,,أخوها عقبة,,,,,,,,صحابية,صحابية,
155,ابنة زيد بن ثابت,,,,الأنصارية ، المدنية,,,,,,,,,,,فقيهة,
156,ابنة محيصة بن مسعود,,,,,,,,,,,,,,الثالثة,لا تعرف,
157,أبو إبراهيم,,,أبو إبراهيم,الأشهلي ، الأنصاري ، المدني,,,,,,,,,,الثالثة,مقبول,مجهول
158,أبو أحمد بن علي,,,أبو أحمد,الكلاعي ، الشامي ، الدمشقي,,,,,,,,,,السابعة,مجهول,مجهول
159,أبو إدريس,,,أبو إدريس,البصري,,,,,,,,,,الخامسة,مقبول,نكرة
160,أبو إدريس,,,أبو إدريس,السكوني ، الحمصي ، الشامي,,,,,,,,,,السادسة,مقبول,لا يعرف
161,أبو أرطاة,,,أبو أرطاة,الكوفي,,,,,,,,,,الرابعة,مقبول,
162,أبو إسحاق,,,أبو إسحاق,الأشجعي ، الكوفي,,,,,,,,,,الثامنة,مقبول,
163,أبو أسماء,,,أبو أسماء,الصيقل,,,,,,,,,,الخامسة,مجهول,
164,أبو أفلح,,,أبو أفلح,الهمداني ، المصري ، البصرى,,,,,,,,,,الخامسة,مقبول,صدوق
165,أبو الأبيض ، يقال اسمه عيسى ووهمه ابن حجر,,,أبو الأبيض,"العنسي ، الشامي ، ويقال : المدني , الزهيري ، ويقال : العامري",,"من بني زهير بن جذيمة , ويقال : من بني عامر",,,88 هـ,,الطوانة,,,الثانية,ثقة,ثقة
166,أبو الأحوص,,,أبو الأحوص,الليثي مولاهم ، ويقال : الغفاري مولاهم,,مولى بني ليث ، ويقال : مولى بني غفار,,,,,,,,الثالثة,مقبول,قال ابن معين : ليس بشيء . وقال النسائي : لم نعرفه
167,أبو الأزهر,,,أبو الأزهر,المصري,,,,,,,,,,الثانية,مقبول,
169,يزيد بن عطارد,,,أبو البزري,"السدوسي , القيسي , البصرى ، ويقال : العيشي",,,,,120 وبضع ، وقال ابن حبان : في الفتنة التي وقعت بين علي بن أبي طالب ومعاوية بن أبي سفيان رضي الله عنهما,,,,,الرابعة,مقبول,مجهول
170,أبو الجارية,,,أبو الجارية,العبدي ، البصري,,,,,,,,,,العاشرة,مجهول,لا يعرف
171,أبو الجراح,,,أبو الجراح,البهزي ، المهري,,,,,,,,,,السابعة,مجهول,
172,أبو الحسن,,,أبو الحسن,الجزري ، الشامي,,,,,,,,,,السادسة,مجهول,
173,أبو الحسن,,,أبو الحسن,الكوفي,,,,,,,,,,السادسة,مجهول,
174,أبو الحسن,,,أبو الحسن,النوفلي مولاهم,,مولى عبد الله بن الحارث بن نوفل,,,,,,,,الرابعة,مقبول,
175,أبو الحسن,,,أبو الحسن,العسقلاني,,,,,,,,,,السابعة,مجهول,
176,أبو الحسن,,,أبو الحسن,الأنصاري مولاهم,,مولى أم قيس بنت محصن الأسدية,,,,,,,,الثالثة,مقبول,
177,أبو الحكم,,,أبو الحكم,الليثي مولاهم,,مولى بني ليث,,,,,,,,الثالثة,مقبول,
179,أبو الخطاب,,,أبو الخطاب,المصري,,,,,,,,,,الثالثة,مجهول,
180,أبو الخطاب,,,أبو الخطاب,,,,,,,,,,,السادسة,مجهول,مجهول
181,أبو الربيع,,,أبو الربيع,المدني,,,,,,,,,,الثالثة,مقبول,صدوق
182,رداد ، ويقال : أبو الرداد ، وهو الأشهر,أبو الرداد,,أبو الرداد,الليثي ، الحجازي,المدينة,,,,,,,,,الثانية,مقبول,وثق
183,أبو السنابل بن بعكك بن الحارث بن عميلة بن السباق بن عبد الدار بن قصي ، قيل : اسمه عمرو ، وقيل : لبيد ربه ، وقيل : حبة ، وقيل : حنة ، وقيل : أصرم,أبو السنابل,,أبو السنابل,"العبدري ، القرشي , ويقال : الكوفي , ويقال :  المكي , وقيل: العامري","الكوفة , مكة","زوجه : سبيعة  , وابنه منها : سنابل ،
قيل: إنه من بني عامر بن لؤي بن غالب",,,,,مكة,,,صحابي مشهور,صحابي مشهور,من الطلقاء
185,أبو الشمال بن ضباب,,,أبو الشمال,,,,,,,,,,,الثالثة,مجهول,مجهول
186,أبو الشموس,,,أبو الشموس,البلوي,,,,,,,,,,صحابي,صحابي,صحابي
187,أبو الصلت ، عن أبي هريرة,,,أبو الصلت,,,,,,,,,,,الثالثة,مجهول,
188,أبو الصلت : قيل إنه : شهاب بن خراش,,,أبو الصلت,قيل: الحوشبي,,,,,,,,,,السادسة,,
189,أبو الصهباء,,,أبو الصهباء,الكوفي,,,,,,,,,,السادسة,مقبول,ثقة
190,"أبو العجلان , وقيل : أبو المخارق",,,"أبو العجلان , وقيل : أبو المخارق",المحاربي ، الشامي,,,,,,,,,,الرابعة,مقبول,
191,تبيع بن سليمان,,,أبو العدبس,الكوفي,,,,,,,,,,السادسة,مجهول,
192,أبو الغوث بن الحصين,,,أبو الغوث,الخثعمي,العرج ، الفرع مكان بنواحي المدينة,,,,,,,,,,صحابي,صحابي
193,"أبو الفضل ، وقيل : أبو الفضيل , أو ابن الفضل",,,"أبو الفضل , وقيل : أبو الفضيل",,,,,,,,,,,الرابعة,مجهول,
